name;roaster;roast;loc_country;origin;100g_USD;rating;review_date;review;
Kenya Nyeri Jungle Estate Red Cherry SLD Anaerobic Natural;Vennel Coffee;Medium-Light;Taiwan;Kenya;10,57;95;March 2022;Savory-sweet, deep-toned, juicy. Concord grape, mustard flower, dark chocolate, tangerine zest, cedar in aroma and cup. Savory-leaning structure with cola-like, phosphoric acidity;
KonAroma Direct Trade Kona;Jampot Poorock Abbey;Medium;United States;Hawai'I;10,58;90;March 2019;Deep, sweet, gently roasty. Orange zest, scorched cedar, cocoa, roasted cashew, a hint of lily in aroma and cup. Roasty pungent but sweet in structure;
Honey Typica;Rusty's Hawaiian;Medium-Light;Hawai'i;Hawai'I;10,58;92;may-19;Crisply sweet, fruit- and spice-toned. Apricot, oak, baker’s chocolate, freesia, sandalwood in aroma and cup. Deeply sweet structure with a tart lift and lively acidity;
KonAroma Direct Trade Kona;Jampot Poorrock Abbey;Medium;United States;Hawai'I;10,58;92;March 2020;Richly sweet, floral- and nut-toned. Magnolia, cashew butter, cedar, maple syrup, red grape in aroma and cup. Sweet structure with gentle, round acidity;
Wood Valley Single Estate Ka’u;Big Island Coffee Roasters;Medium-Light;Hawai'i;Hawai'I;10,58;93;June 2020;Richly floral- and nut-toned. Freesia-like flowers, almond brittle, baking chocolate, black cherry, fresh-cut oak in aroma and cup. Deeply sweet structure with tart, lively acidity;
Costa Rica Cordillera del Fuego;Peach Coffee Roasters;Medium-Light;United States;Costa Rica;10,58;94;October 2020;Deeply rich, sweetly spice-toned. Cinnamon, nutmeg, pear, honey, lavender in aroma and cup. Sweet-tart structure with lively, juicy acidity;
Guatemala Acatenango Gesha;Jaunt Coffee Roasters;Light;United States;Guatemala;10,58;94;December 2021;Floral-toned, delicately complex. Lilac, amber, apricot, caramel, a hint of thyme in aroma and cup. Sweetly tart structure with bright acidity;
Honduras Finca Cerro Azul Yellow Pacas;Paradise Roasters;Medium-Light;United States;Honduras;10,58;93;February 2022;Balanced, delicately fruit-toned. Dried apricot, caramel, coriander, oak, milk chocolate in aroma and cup. Sweet-toned structure with gently brisk acidity;
Kenya AB Phoenix Special “Glory”;Simon Hsieh's Aroma Roast Coffees;Medium-Dark;Taiwan;Kenya;10,62;94;October 2018;Evaluated as espresso. Deeply and richly sweet-savory. Blackberry, roasted cacao nib, tamarind, sandalwood, pistachio in aroma and small cup. Crisp but velvety-smooth mouthfeel;
Guatemala Santa Felisa Wild Yeast Natural Gesha;Kakalove Cafe;Light;Taiwan;Guatemala;10,62;96;November 2021;Elegantly fruit-toned, complex, deeply layered. Lychee, macadamia nut, pink grapefruit zest, cocoa nib, plumeria in aroma and cup. Richly sweet-tart structure with bright, juicy acidity;
Colombia La Palma y El Tucan;Le Brewlife;Medium-Light;Taiwan;Colombia;10,67;93;July 2021;Deeply sweet, fruit-toned. Watermelon candy, dark chocolate, a whiff of Bourbon barrel, fresh-cut fir, gardenia in aroma and cup. Sweet-tart structure with gentle acidity;
Sweet Kenya J36 Espresso;Green Stone Coffee;Medium-Light;Taiwan;Kenya;10,67;95;November 2021;Evaluated as espresso. Complex, vibrant, richly nuanced. Toffee, pomegranate, dark chocolate, star jasmine, marjoram in aroma and small cup. Very viscous, syrupy-smooth mouthfeel;
Puna Barrel-Aged;Big Island Coffee Roasters;Medium-Light;Hawai'i;Hawai'I;10,93;93;may-19;Sweetly spice-toned, richly chocolaty. Salted chocolate, hop flowers, Concord grape, ginger, a hint of aged grappa in aroma and cup. Sweet-savory structure with fruit-forward, wine-toned acidity;
Esmeralda Estate Panama Geisha;Difference Coffee;;England;Panama;100;94;November 2020;Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Richly aromatic, floral and balanced. Jasmine, orange zest, baking chocolate, pear, cedar in aroma and small cup. Silky-smooth mouthfeel. Crisp finish leads with notes of jasmine and orange zest, with undertones of baking chocolate throughout. Chocolate notes deepen in three parts milk, as do sweet florals.;
Colombia Caturra Anaerobic Natural;Cafe Kreyol;Medium-Light;United States;Colombia;11;92;February 2022;Deeply sweet-savory. Watermelon candy (Jolly Rancher), chocolate fudge, oregano, cedar, hint of teriyaki sauce in aroma and cup. Savory-leaning structure with brisk acidity;
Nicaragua Mierisch Finca La Huella Yellow Pacamara Honey;Small Eyes Cafe;Light;Taiwan;Nicaragua;11,02;93;November 2018;Aromatically subtle, sweetly tart. Pie cherry, roasted cacao nib, pistachio, thyme, freesia-like flowers in aroma and cup. Sweetly tart structure with juicy, vibrant acidity;
CBD Coffee Dark Roast;Rooster Roastery;Medium-Dark;Hawai'i;Hawai'I;11,02;84;October 2020;Chocolaty, smoke-toned, sweetly savory. Dark chocolate, scorched mesquite, vanillin, gardenia, prune in aroma and cup. Sweet-savory structure with very little acidity;
Hacienda Esmeralda Ethiopian Accessions;modcup coffee;Light;United States;Panama;11,02;95;January 2022;Bright, balanced, floral-driven. Ginger blossom, red plum, cocoa nib, tangerine zest, fresh-cut oak in aroma and cup. Juicy-sweet structure with lively acidity;
Ethiopia Anaerobic Natural;modcup coffee;Medium-Light;United States;Ethiopia;11,02;94;January 2022;Deep-toned, sweetly savory. Concord grape, hop flowers, grapefruit;
Haraaz Red Yemen;JBC Coffee Roasters;Medium-Light;United States;Yemen;11,02;94;March 2022;Richly spice-toned, fruit-forward. Goji berry, amber, dried ginger, cashew, freesia-like flowers in aroma and cup. Sweet in structure with high-toned acidity;
Fruit Bomb/Ethiopia Shantewene;modcup coffee;Medium-Light;United States;Ethiopia;11,02;93;June 2022;Evaluated as espresso. Aromatically intense, sweet-tart-savory. Concord grape, lychee, dark chocolate, aloewood, oregano in aroma and cup. Creamy-smooth mouthfeel;
Colombia Pink Bourbon;Paradise Roasters;Medium-Light;United States;Colombia;11,17;94;June 2022;Complex, nuanced, high-toned. Wild raspberry, honeysuckle, cocoa nib, tangerine zest, honey in aroma and cup. Sweetly tart with juicy-bright acidity;
Costa Rica Tarrazu Dota El Diosa Geisha;Buon Caffe;Medium-Light;Taiwan;Costa Rica;11,17;93;June 2022;High-toned, floral. Nectarine, lilac, cocoa nib, pistachio brittle, cedar in aroma and cup. Sweet structure with bright, juicy acidity;
Colombia Antioquia Magico;Paradise Roasters;Light;United States;Colombia;11,17;94;July 2022;Richly chocolaty, sweetly tart. Nectarine, dark chocolate, lemon verbena, lavender, fresh-cut oak in aroma and cup. Sweet structure with high-toned acidity;
Ka’u Peaberry Hawai’i;Jackrabbit Java;Medium-Light;United States;Hawai'I;11,32;92;January 2022;Cocoa-toned, gently bright. Cocoa powder, cashew, date, magnolia, fresh-cut fir in aroma and cup. Sweet structure with delicately bright acidity;
Kakalove Taiwan Natural SL34 Alishan Ching-Ye Farm;Kakalove Cafe;Medium-Light;Taiwan;Taiwan;11,33;92;June 2020;Delicate, fruit-forward. Blueberry, molasses, fresh-cut fir, magnolia, bay leaf in aroma and cup. Sweet structure with tart-leaning, gentle acidity. Velvety mouthfeel. The crisp finish centers around blueberry and fir.;
Ethiopia Natural Sidama TAMIRU 74158;Kakalove Cafe;Medium-Light;Taiwan;Ethiopia;11,33;96;January 2022;Provocatively sweet, richly floral, musky. Aromatic orchid, cocoa nib, finger lime, fine musk, toffee in aroma and cup. Elegantly tart in structure with bright, juicy acidity;
Taiwan Washed Alishan Ching-Ye Farm SL34;Kakalove Cafe;Medium-Light;Taiwan;Taiwan;11,33;94;April 2022;Richly sweet-tart, delicately fruit-toned. Wild strawberry, honey, freesia, cedar, marjoram in aroma and cup. Sweetly tart structure with juicy, gently bright acidity;
Colombia Cauca El Paraiso;SOT Coffee Roaster;Light;Japan;Colombia;11,38;96;March 2021;Lyrically sweet, juicy, elegantly bright. Strawberry guava, coconut, hop flowers, narcissus, lemon balm in aroma and cup. Sweetly tart with juicy, tantalizing acidity;
‘Ōpio Kona;Monarch Coffee;Medium-Light;Hawai'i;Hawai'I;11,46;91;February 2022;Chocolaty, crisply sweet. Baking chocolate, date, hazelnut, magnolia, a hint of marjoram in aroma and cup. Sweet structure with gentle, round acidity;
Geisha Spirit;Cafe Kreyol;Medium-Light;United States;Colombia;11,61;94;September 2022;Delicately fruit- and floral-toned. Magnolia, apricot, amber, cocoa nib, sandalwood in aroma and cup. Sweetly tart with gently bright acidity;
Ka’u Yellow Bourbon;Big Island Coffee Roasters;Medium-Light;Hawai'i;Hawai'I;11,64;94;January 2021;Juicy-sweet, high-toned, multi-layered. Strawberry guava, star jasmine, hazelnut, amber, cocoa nib in aroma and cup. Brightly sweet-tart structure with vibrant acidity;
Colombia Geisha;Paradise Roasters;Medium-Light;United States;Colombia;11,73;93;April 2020;Rich-toned, exceptionally sweet. Blood orange zest, lilac, baking chocolate, pear, cedar in aroma and cup. High-toned, bittersweet structure with juicy, balanced acidity;
Nicaragua La Benedicion SL28 Natural;Paradise Roasters;Light;United States;Nicaragua;11,73;94;August 2020;Deep, chocolaty, fruit-forward. Black cherry, almond nougat, frankincense, fresh-cut oak, honey in aroma and cup. Sweet-tart structure with bright, winy acidity;
Panama Finca Lerida Geisha Black Honey;Willoughby's Coffee & Tea;Medium-Light;United States;Panama;11,75;93;December 2018;Big, round, deeply and pungently layered. Fragrant cedar, lavender, baker’s chocolate, Concord grape, a hint of mace in aroma and cup. Bittersweet and rich in structure;
Panama Finca Lerida Geisha Washed;Willoughby's Coffee & Tea;Medium-Light;United States;Panama;11,75;93;December 2018;Crisp, delicately but intricately floral- and spice-toned. Jasmine, walnut, pipe tobacco, sandalwood, ripe peach, a hint of lime zest in aroma and cup. Brisk and vivacious in structure;
Gatugi Triple;Barrington Coffee Roasting;Light;United States;Kenya;11,76;95;September 2018;Bright, crisply sweet-savory. Black currant, honeysuckle, ripe tomato, spearmint, cedar in aroma and cup. Equal parts sweet, savory and tart in structure with lively acidity;
Sulawesi Toarco;Barrington Coffee Roasting;Medium-Light;United States;Indonesia;11,76;92;September 2018;Sweet-toned, richly savory. Baker’s chocolate, hazelnut butter, narcissus, date, fresh-cut fir in aroma and cup. Sweet-savory structure with rounded, gentle acidity;
Feku Double;Barrington Coffee Roasting;Medium-Light;United States;Ethiopia;11,76;93;February 2019;Bright, crisp, sweetly tart. Apricot, almond, cocoa nib, cedar, honey in aroma and cup. Sweet-tart structure with juicy acidity;
Barichu Double;Barrington Coffee Roasting;Medium-Light;United States;Kenya;11,76;94;July 2019;Richly sweet, deeply savory, elegantly balanced. Dried apricot, maple syrup, narcissus, sandalwood, cacao nib in aroma and cup. Sweet-tart-savory in structure with vibrant, juicy acidity;
Philippines Sitio Belis;Paradise Roasters;Medium-Light;United States;Philippines;11,76;93;November 2021;Delicately tropical. Lychee, ginger blossom, cocoa nib, amber, agave syrup in aroma and cup. Sweet, lively structure with juicy acidity;
Colombia Cauca Finca El Paraiso Rose Tea;Rubasse Coffee Roaster;Light;Taiwan;Colombia;11,95;92;October 2022;Richly aromatic, gently tart. Tamarind, magnolia, oak, pistachio, pink grapefruit zest in aroma and cup. Sweetly tarty structure with gently brisk acidity;
Esmeralda Estate Panama Geisha;Difference Coffee;;England;Panama;111,11;94;August 2018;Evaluated as espresso produced as a ristretto 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Sweetly bright, intricate, original. Peach, sandalwood, lemon tart, baker’s chocolate, rhododendron-like flowers in aroma and small cup. Delicately plump in mouthfeel;
Esmeralda Estate Panama Geisha;Difference Coffee;;England;Panama;111,11;94;June 2020;Evaluated as espresso produced as a ristretto 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Delicate, floral-toned. Honeysuckle, white peach, lime zest, cocoa nib, cedar in aroma and small cup. Silky, buoyant mouthfeel. The elegant finish centers around notes of honeysuckle and lime zest, with cocoa nib lingering into the long. Cappuccino-scaled milk further amplifies floral and chocolate tones.;
Esmeralda Estate Panama Geisha;Difference Coffee;;England;Panama;111,11;94;August 2021;Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Rich-toned, floral- and fruit-driven. Jasmine, apricot, almond, baking chocolate, cedar in aroma and small cup. Delicately viscous mouthfeel;
Esmeralda Estate Panama Geisha;Difference Coffee;;England;Panama;111,11;94;July 2022;Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Crisply sweet, floral-toned. Lilac, plum, almond, cocoa nib, lemon verbena in aroma and small cup. Silky-smooth mouthfeel;
Ecuador Finca Cruz Loma;Simon Hsieh Aroma Roast Coffees;Medium-Dark;Taiwan;Ecuador;115,2;95;April 2022;Decadently rich, resonantly chocolaty, floral-toned. Chocolate fudge, salted caramel, gardenia, date, scorched almond in aroma and cup. Vibrantly bittersweet structure with round acidity;
Kenya Athena AB Espresso;Simon Hsieh Aroma Roast Coffees;Medium;Taiwan;Kenya;12,04;94;October 2021;Evaluated as espresso. Richly chocolaty, complex, multi-layered. Chocolate fudge, dried passionfruit, almond nougat, cedar, graphite in aroma and small cup. Lively, syrupy-smooth mouthfeel;
Ethiopia Aphrodite Washed Espresso;Simon Hsieh Aroma Roast Coffees;Medium;Taiwan;Ethiopia;12,04;96;January 2022;Evaluated as espresso. Aromatic orchid, dark chocolate, black cherry, gently scorched sandalwood, tarragon in aroma and small cup. Creamy-smooth mouthfeel;
Ka’u Oro Yeast Typica;Rusty's Hawaiian Coffee;Medium-Light;Hawai'i;Hawai'I;12,35;93;April 2018;Deeply sweet, richly savory. Lemongrass, graham cracker, sassafras, roasted cacao nib, jasmine in aroma and cup. Sweet-savory structure, with round acidity;
Yemen Matari;Baba Java Coffee;Medium;United States;Yemen;12,35;93;may-19;Very sweet, richly perfumed, wood-framed. Pipe-tobacco, lychee fruit, spice box, freesia-like flowers, amber and musk in aroma and cup. Richly, densely composed structure, crisply tart acidity. Impressively syrupy-smooth mouthfeel. The finish consolidates pleasantly into a slightly drying though rich-toned, spicy tobacco.;
Ka’u Giant Maragogipe;Big Island Coffee Roasters;Medium-Light;Hawai'i;Hawai'I;12,35;94;June 2020;Deep-toned, sweet-savory. Nectarine, narcissus, hop flowers, sandalwood, honey in aroma and cup. Richly sweet structure with gentle, round but engaging acidity;
El Jardin;JBC Coffee Roasters;Medium-Light;United States;Colombia;12,35;94;October 2020;Big, bright, juicy, balanced. Sticky rice, lychee, hazelnut, cocoa nib, narcissus in aroma and cup. Richly sweet structure with vibrant, tangy acidity;
Kona Peaberry;Big Island Coffee Roasters;Medium-Light;Hawai'i;Hawai'I;12,35;94;April 2021;Balanced, deep-toned, floral. Honeysuckle, apricot, almond butter, dark chocolate, a hint of thyme in aroma and cup. Sweet structure with comfortable, straightforward acidity;
Colombia La Esperanza Anaerobic;Big Shoulders Coffee;Medium-Light;United States;Colombia;12,35;94;October 2021;Deeply rich, sweetly savory. Pomelo, myrrh, dried apricot, dark chocolate, the pungent herb epazote in aroma and cup. Juicy-sweet structure with tart, zesty acidity;
Ethiopia Guji Sakicha JH144;Coffee Please;Medium-Light;Taiwan;Ethiopia;12,52;93;October 2021;Sweetly fruit-driven, richly aromatic. Lychee, hop flowers, cocoa nib, thyme, agave syrup in aroma and cup. Sweet-savory structure with bittersweet acidity;
Panama Baru Geisha Honey by Joseph;Kakalove Cafe;Medium-Light;Taiwan;Panama;12,74;94;March 2018;Crisp, sweetly tart. Concord grape, baker’s chocolate, cedar, musk, magnolia in aroma and cup. Balanced, sweet-tart in structure with juicy acidity;
Kenya AA Ares Phoenix Special;Simon Hsieh’s Aroma Roast Coffees;Medium;Taiwan;Kenya;12,74;96;November 2020;Evaluated as espresso. Richly chocolaty and floral-toned. Chocolate fudge, narcissus, molasses, sandalwood, dried red currant in aroma and small cup. Creamy-smooth mouthfeel;
Ethiopia Sidama Bona Washed G1;Singsun Coffee;Medium-Light;Taiwan;Ethiopia;12,79;94;October 2020;Sweetly pungent, complex. Apricot, cocoa nib, narcissus, cedar, almond butter in aroma and cup. Sweet-tart structure with bright, juicy acidity;
Ecuador Taza Dorada Finca Cruz Loma;Paradise Roasters;Medium-Light;United States;Ecuador;123,46;96;April 2022;Richly floral-toned, elegant, complex. Star jasmine, tangerine zest, violet candy, cocoa nib, apricot in aroma and cup. Very bright, juicy, delicately sweet-tart structure with high-toned acidity;
Ethiopia Tamiru Tadesse Anaerobic;Genesis Coffee Lab;Light;United States;Ethiopia;127,87;96;November 2021;Richly sweet-tart, delicately balanced. Lychee, cocoa nib, sandalwood, star jasmine, hot buttered rum in aroma and cup. High-toned structure with juicy-bright acidity;
Estate Medium Roast;Ka'u Specialty Coffee;Medium-Light;Hawai'i;Hawai'I;13;93;January 2018;Deeply sweet, delicately zesty, complexly fruit- and floral-toned. Peach, grapefruit zest, alyssum-like flowers, dark chocolate, cinnamon in aroma and cup. Sweetly tart in structure, with a deepening savory-bitter edge. Light, satiny mouthfeel;
Estate Carbonic Maceration;Ka'u Specialty Coffee;Medium-Light;Hawai'i;Hawai'I;13;90;January 2018;Gently bittersweet, deeply floral-toned. Baker’s chocolate, aromatic orchid, hazelnut, oak in aroma and cup. Low-toned, crisply bittersweet in structure. Mouthfeel is light though silky. The finish consolidates to a rich, oaky chocolate.   ;
“Naturals”;Hala Tree Kona Coffee;Medium-Light;Hawai'i;Hawai'I;13,23;92;December 2017;Sweet-toned, fruit-forward. Raspberry, cedar, baker’s chocolate, gardenia, molasses in aroma and cup. Bittersweet structure;
100% Kona Bourbon;Hala Tree Kona Coffee;Medium-Light;Hawai'i;Hawai'I;13,23;93;March 2019;Richly sweet-savory, cocoa-toned. Apricot, cocoa nib, maple syrup, jasmine, hint of marjoram in aroma and cup. Sweetly savory in structure with pert acidity;
Kona Naturals;Hala Tree Kona Coffee;Medium-Light;Hawai'i;Hawai'I;13,23;92;March 2019;Fruit-toned, richly sweet. Dried mango, coconut, freesia, honey, fir, a hint of aged grappa in aroma and cup. Sweet-toned structure with winy acidity;
Ethiopia Guji Queen Honey;Pro Aroma Enterprise Coffee;Medium-Light;Taiwan;Ethiopia;13,23;93;July 2019;Richly sweet, fruit-forward. Dried peach, baker’s chocolate, jasmine, cedar, molasses in aroma and cup. Sweetly tart structure with bright, juicy acidity;
Hacienda La Esmeralda Geisha Panama;Jackrabbit Java;Medium-Light;United States;Panama;13,23;91;February 2020;Delicate, crisply sweet-tart. Mango, cedar, cocoa nib, sugar cane, a hint of honeysuckle in aroma and cup. Sweet in structure with crisp, citrusy acidity;
Gesha Village Single-Variety Gesha Special Selection;Plat Coffee Roastery;Medium-Light;Hong Kong;Ethiopia;13,23;94;may-20;Deeply rich, balanced, fruit- and floral-toned. Tea rose, pomelo, dark chocolate, pie cherry, fresh-cut oak in aroma and cup. Sweet-tart structure with round, fruit-toned acidity;
Peaberry Medium Roast;Hala Tree Kona Coffee;Medium;Hawai'i;Hawai'I;13,23;92;June 2020;Rich-toned, chocolaty and floral. Baking chocolate, magnolia, agave syrup, hazelnut butter, cedar in aroma and cup. Sweet structure with gentle, round acidity;
Yellow Caturra (special lot);Miranda Farms;Medium-Light;Hawai'i;Hawai'I;13,23;94;September 2020;Balanced, rich-toned, deeply sweet. Strawberry-guava, cocoa nib, narcissus, almond butter, fresh-cut oak in aroma and cup. Sweet in structure with appealing savory undertones and juicy acidity;
Finca Lerida Gesha Natural;Thanksgiving Coffee Company;Medium-Light;United States;Panama;13,23;92;may-21;Richly sweet, floral-toned. Magnolia, date, almond, caramel, fresh-cut cedar in aroma and cup. Sweet structure with gentle, round acidity;
Ecuador San José de Minas Double-Anaerobic;Peach Coffee Roasters;Light;United States;Ecuador;13,23;94;June 2021;Delicately sweet, richly perfumy. Bergamot, marzipan, lilac, apricot, cocoa nib in aroma and cup. Sweetly tart in structure with very lively, juicy acidity;
Sudan Rume;JBC Coffee Roasters;Medium-Light;United States;Colombia;13,23;95;August 2021;Complex, sweetly and intricately herbaceous, citrusy. Lemon verbena, cardamom, cocoa nib, ginger, aromatic orchid in aroma and cup. Sweetly savory with delicately juicy acidity;
Panama Static Gesha Natural;PT's Coffee Roasting Co.;Medium-Light;United States;Panama;13,23;95;July 2022;Fruity, spice-toned, sweetly fermenty. Cherry liqueur, tiramisu, gardenia, tangerine zest, sage in aroma and cup. Richly sweet structure with winey acidity;
Panama Baru Geisha Natural by Joseph;Kakalove Cafe;Medium-Light;Taiwan;Panama;13,45;94;March 2018;Delicate, sweetly spice-toned. Peach blossom, hazelnut, pink peppercorn, lime zest, cedar in aroma and cup. Sweet-tart in structure with lively, balanced acidity;
Ethiopia Bench Maji Gesha Village Dimma Illubabor Forest A6 Natural;Taster's Coffee;Light;Taiwan;Ethiopia;13,45;95;January 2022;Gently fruit-toned, lyrically sweet. Nectarine, cherry blossom, almond butter, oregano, honey in aroma and cup. Richly sweet with high-toned acidity;
Colombia Huila Geisha Las Mieles;Dr. Bean's Coffee Roasters;Light;United States;Colombia;13,52;92;August 2020;Deep-toned, richly sweet. Cherry, brown sugar, grapefruit zest, dark chocolate, baking spices in aroma and cup. Sweet structure with round, lively acidity;
Kona Extra Fancy;San Francisco Bay Coffee Company;Medium-Light;United States;Hawai'I;13,52;95;October 2022;Richly chocolaty, balanced, deep-toned. Dark chocolate, persimmon, roasted almond butter, magnolia, oak forest in aroma and cup. Sweet in structure with vibrant, apple-like malic acidity;
Ethiopia Sidama Bona Sweet Natural G1;Singsun Coffee;Medium-Light;Taiwan;Ethiopia;13,67;93;October 2020;Chocolaty and fruit-centered. Dark chocolate, blueberry, jasmine, lemongrass, a hint of brandy in aroma and cup. Sweet-toned structure with gentle, round acidity;
Miranda’s Farms Hawai’i Caturra;Origin Coffee Roasters;Medium-Light;Hawai'i;Hawai'I;13,82;93;April 2021; Deeply sweet-savory, berry-toned. Mulberry, brown sugar, Meyer lemon zest, dark chocolate, hop flowers in aroma and cup. Sweet-savory structure with gentle, round acidity;
Ethiopia Wush Wush G1;Le Brewlife;Light;Taiwan;Ethiopia;13,87;93;July 2021;Floral and richly fruit-forward. Tea rose, anise, ripe cantaloupe, roasted pecan, marshmallow in aroma and cup. Roundly sweet-savory structure with winy, bright acidity;
Mama Cata Mokkita;Paradise Roasters;Medium-Light;United States;Panama;132,28;97;November 2021;Aromatically other-worldly, resoundingly juicy. Caramelized pineapple, aromatic orchid, pistachio, raw chocolate, oolong tea in aroma and cup. Sweet-savory-tart structure with gently bright acidity;
